LGID,SOURCE,LGNAME,LGTYPEID,LGSTATUSID,ABBREV_NAM,MAIL_ADDRE,ALT_ADDRES,MAIL_CITY,MAIL_STATE,MAIL_ZIP,URL,PREV_NAME
30140,JeffCo Dissolved Parcels 07-01-2015,Deer Creek Metropolitan District,6,1,Deer Creek Metropolitan District,"8390 E. Crescent Parkway, Suite 500",c/o Clfiton Larson Allen LLP,Greenwood Village,CO,80111-2814,,
30101,JeffCo Dissolved Parcels 07-01-2015,Denver West Metropolitan District,6,1,Denver West Metropolitan District,"2154 E. Commons Ave., Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,,
65191,JeffCo Dissolved Parcels 07-01-2015,Church Ranch Metropolitan District,6,1,Church Ranch Metropolitan District,"141 Union Boulevard, Suite 150",c/o Special District Management,Lakewood,CO,80228-1898,,
30015,JeffCo Dissolved Parcels 07-01-2015,College Park Water & Sanitation District,12,1,College Park Water & Sanitation District,"14799 West Sixth Avenue., Unit A-5",,Golden,CO,80401,,
65404,JeffCo Dissolved Parcels 07-01-2015,Conifer Metropolitan District,6,1,Conifer Metropolitan District,5299 DTC Blvd Ste 815,c/o Cordes & Company Inc,Greenwood Village,CO,80111,,
30137,JeffCo Dissolved Parcels 07-01-2015,Countrydale Metropolitan District,6,1,Countrydale Metropolitan District,"8390 E. Crescent Parkway, Suite 500",c/o CliftonLarsonAllen LLP,Greenwood Village,CO,80111-2814,,
65520,JeffCo Dissolved Parcels 07-01-2015,Dancing Willows Metropolitan District,6,1,Dancing Willows Metropolitan District,"7995 E. Prentice Avenue, Suite 103E",,Greenwood Village,CO,80111,,
66370,JeffCo Dissolved Parcels 07-01-2015,Denver West Promenade Metropolitan District,6,1,Denver West Promenade Metro. District,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele, P.C.",Centennial,CO,80122-1880,,
30017,JeffCo Dissolved Parcels 07-01-2015,Daniels Sanitation District,10,1,Daniels Sanitation District,1002 Kipling Street,,Lakewood,CO,80215,,
66075,JeffCo Dissolved Parcels 07-01-2015,Dinosaur Ridge Metropolitan District,6,1,Dinosaur Ridge Metropolitan District,"8390 East Crescent Parkway, Suite 500",c/o CliftonLarsonAllen LLP,Greenwood Village,CO,80111,,
65135,JeffCo Dissolved Parcels 07-01-2015,Eagle View Metropolitan District,6,1,Eagle View Metropolitan District,141 Union Blvd Ste 150,,Lakewood,CO,80228,,
30018,JeffCo Dissolved Parcels 07-01-2015,East Jefferson County Sanitation District,10,1,East Jefferson County San. District,PO Box 1704,,Wheatridge,CO,80034-1704,,
30019,JeffCo Dissolved Parcels 07-01-2015,East Lakewood Sanitation District,10,1,East Lakewood Sanitation District,"8390 E. Crescent Parkway, Suite 500",c/o CliftonLarsonAllen LLP,Greenwood Village,CO,80111-2814,,
65166,JeffCo Dissolved Parcels 07-01-2015,Evergreen Metropolitan District,6,1,Evergreen Metropolitan District,PO Box 3819,,Evergreen,CO,80437-3819,www.evergreenmetrodistrict.com,
30027,JeffCo Dissolved Parcels 07-01-2015,Fairmount Fire Protection District,8,1,Fairmount Fire Protection District,4755 Isabell Street,,Golden,CO,80403,www.fairmountfire.org,
30136,JeffCo Dissolved Parcels 07-01-2015,Foothills Fire Protection District,8,1,Foothills Fire Protection District,28812 Rainbow Hill Road,,Evergreen,CO,80439-3701,www.foothillsfire.org,
30029,JeffCo Dissolved Parcels 07-01-2015,Forest Hills Metropolitan District,6,1,Forest Hills Metropolitan District,"14405 W. Colfax Avenue, Suite 165",,Golden,CO,80401,,
65881,JeffCo Dissolved Parcels 07-01-2015,Fossil Ridge Metropolitan District No. 1,6,1,Fossil Ridge Metropolitan District No. 1,"2154 E. Commons Ave., Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,,
